MinE_MO; E_MinE_MO; Frag_MO; E_Frag_MO;Occup;Frag;dE, Hartree;dE, %
0;-19,35988;0;-19,364731;2; 4-MeOPh+;0,004850999999999;0,4
1;-14,70375;0;-14,441894;2; N2;-0,261856;-22,2
2;-14,66349;1;-14,440486;2; N2;-0,223004;-18,9
4;-10,45025;1;-10,492699;2; 4-MeOPh+;0,042449;3,6
3;-10,45176;2;-10,462386;2; 4-MeOPh+;0,010626;0,9
5;-10,40305;3;-10,431352;2; 4-MeOPh+;0,028302;2,4
6;-10,39783;4;-10,430956;2; 4-MeOPh+;0,033125999999999;2,8
7;-10,38465;5;-10,413234;2; 4-MeOPh+;0,028583999999999;2,4
8;-10,37624;6;-10,411742;2; 4-MeOPh+;0,035502000000001;3,0
9;-10,37101;7;-10,391611;2; 4-MeOPh+;0,020600999999999;1,7
10;-1,3508;2;-1,123113;2; N2;-0,227687;-19,3
11;-1,25309;8;-1,259043;2; 4-MeOPh+;0,005953;0,5
12;-1,09284;9;-1,099739;2; 4-MeOPh+;0,006899;0,6
13;-1,00844;10;-0,990705;2; 4-MeOPh+;-0,017735;-1,5
14;-0,95278;11;-0,956163;2; 4-MeOPh+;0,003383;0,3
15;-0,90587;12;-0,878302;2; 4-MeOPh+;-0,027568;-2,3
16;-0,84272;13;-0,832238;2; 4-MeOPh+;-0,010482;-0,9
17;-0,81165;14;-0,792356;2; 4-MeOPh+;-0,019294;-1,6
20;-0,70694;3;-0,551624;2; N2;-0,155316;-13,2
18;-0,75744;15;-0,72758;2; 4-MeOPh+;-0,02986;-2,5
19;-0,71181;16;-0,700445;2; 4-MeOPh+;-0,011365;-1,0
21;-0,7049;17;-0,667795;2; 4-MeOPh+;-0,037105;-3,2
25;-0,63284;18;-0,665004;2; 4-MeOPh+;0,032164;2,7
22;-0,67096;19;-0,646098;2; 4-MeOPh+;-0,024862;-2,1
23;-0,65115;20;-0,64062;2; 4-MeOPh+;-0,01053;-0,9
24;-0,63441;21;-0,594487;2; 4-MeOPh+;-0,039923;-3,4
26;-0,62266;22;-0,593032;2; 4-MeOPh+;-0,029628;-2,5
27;-0,59735;4;-0,461595;2; N2;-0,135755;-11,5
28;-0,58095;5;-0,461584;2; N2;-0,119366;-10,1
29;-0,56159;23;-0,575039;2; 4-MeOPh+;0,013449;1,1
30;-0,54593;6;-0,425409;2; N2;-0,120521;-10,2
31;-0,5111;24;-0,526717;2; 4-MeOPh+;0,015617;1,3
32;-0,49781;25;-0,510477;2; 4-MeOPh+;0,012667;1,1
33;-0,45111;26;-0,472404;2; 4-MeOPh+;0,021294;1,8
34;-0,41608;27;-0,425164;2; 4-MeOPh+;0,009084;0,8
35;-0,26947;28;-0,336484;0; 4-MeOPh+;0,067014;
36;-0,25866;7;-0,022965;0; N2;-0,235695;
37;-0,19089;29;-0,227596;0; 4-MeOPh+;0,036706;
38;-0,15148;8;-0,022962;0; N2;-0,128518;
39;-0,08323;30;-0,199599;0; 4-MeOPh+;0,116369;
40;-0,041;31;-0,085089;0; 4-MeOPh+;0,044089;
;;;;;;;
âˆ‘dE;-140,03513;;-138,857824;;;-1,177306;-100,0
;;;;;N2;-1,243505;-105,6
;;;;;4-MeOPh+;0,066199;5,6
