MinE_MO; E_MinE_MO; Frag_MO; E_Frag_MO; Occ; Frag;dE, Hartree;dE, %
0;-19,33478;0;-19,350488;2; 4-NO2Ph+;0,015708;1,3
1;-19,33471;1;-19,350417;2; 4-NO2Ph+;0,015706999999999;1,3
3;-14,72595;2;-14,743886;2; 4-NO2Ph+;0,017936000000001;1,5
2;-14,74959;0;-14,441894;2; N2;-0,307696;-25,4
4;-14,71653;1;-14,440486;2; N2;-0,276044000000001;-22,8
5;-10,49718;3;-10,550499;2; 4-NO2Ph+;0,053319;4,4
6;-10,44816;4;-10,470755;2; 4-NO2Ph+;0,022595000000001;1,9
7;-10,43417;5;-10,47072;2; 4-NO2Ph+;0,03655;3,0
8;-10,43414;6;-10,464166;2; 4-NO2Ph+;0,030026000000001;2,5
10;-10,40968;7;-10,458234;2; 4-NO2Ph+;0,048553999999999;4,0
9;-10,40969;8;-10,458196;2; 4-NO2Ph+;0,048506;4,0
11;-1,40096;2;-1,123113;2; N2;-0,277847;-23,0
12;-1,3838;9;-1,400377;2; 4-NO2Ph+;0,016577;1,4
13;-1,21459;10;-1,231498;2; 4-NO2Ph+;0,016908;1,4
14;-1,13349;11;-1,152042;2; 4-NO2Ph+;0,018552;1,5
15;-1,05814;12;-1,034506;2; 4-NO2Ph+;-0,023634;-2,0
16;-0,98386;13;-1,025974;2; 4-NO2Ph+;0,042114;3,5
17;-0,95511;14;-0,893622;2; 4-NO2Ph+;-0,061488;-5,1
18;-0,85013;15;-0,875542;2; 4-NO2Ph+;0,025412;2,1
19;-0,84078;16;-0,82055;2; 4-NO2Ph+;-0,02023;-1,7
21;-0,75173;17;-0,74445;2; 4-NO2Ph+;-0,00728;-0,6
20;-0,78163;18;-0,739333;2; 4-NO2Ph+;-0,042297;-3,5
22;-0,7469;19;-0,707327;2; 4-NO2Ph+;-0,039573;-3,3
23;-0,72175;20;-0,707311;2; 4-NO2Ph+;-0,014439;-1,2
25;-0,68966;21;-0,693771;2; 4-NO2Ph+;0,004111;0,3
24;-0,70916;22;-0,675402;2; 4-NO2Ph+;-0,033758;-2,8
26;-0,68057;23;-0,665147;2; 4-NO2Ph+;-0,015423;-1,3
28;-0,65351;24;-0,641378;2; 4-NO2Ph+;-0,012132;-1,0
27;-0,66482;3;-0,551624;2; N2;-0,113196;-9,4
30;-0,62348;4;-0,461595;2; N2;-0,161885;-13,4
29;-0,64798;5;-0,461584;2; N2;-0,186396;-15,4
31;-0,59388;6;-0,425409;2; N2;-0,168471;-13,9
32;-0,57338;25;-0,613254;2; 4-NO2Ph+;0,039874;3,3
34;-0,48067;26;-0,513353;2; 4-NO2Ph+;0,032683;2,7
33;-0,49292;27;-0,511723;2; 4-NO2Ph+;0,018803;1,6
35;-0,45953;28;-0,475708;2; 4-NO2Ph+;0,016178;1,3
36;-0,45938;29;-0,475215;2; 4-NO2Ph+;0,015835;1,3
37;-0,44717;30;-0,463407;2; 4-NO2Ph+;0,016237;1,3
38;-0,31998;31;-0,372716;0; 4-NO2Ph+;0,052736;
39;-0,29905;7;-0,022965;0; N2;-0,276085;
41;-0,22426;32;-0,273586;0; 4-NO2Ph+;0,049326;
40;-0,23397;33;-0,265276;0; 4-NO2Ph+;0,031306;
;;;;;;;
âˆ‘dE;-166,49356;;-165,283956;;;-1,209604;-100,0
;;;;;N2;-1,491535;-123,3
;;;;;4-NO2Ph+;0,281931;23,3
